,Year,Position,Venue,Name
22815,2020,1,austria,Valtteri Bottas
22816,2020,2,austria,Charles Leclerc
22817,2020,3,austria,Lando Norris
22818,2020,4,austria,Lewis Hamilton
22819,2020,5,austria,Carlos Sainz
22820,2020,6,austria,Sergio Perez
22821,2020,7,austria,Pierre Gasly
22822,2020,8,austria,Esteban Ocon
22823,2020,9,austria,Antonio Giovinazzi
22824,2020,10,austria,Sebastian Vettel
22825,2020,11,austria,Nicholas Latifi
22826,2020,12,austria,Daniil Kvyat
22827,2020,13,austria,Alexander Albon
22828,2020,0,austria,Kimi RÃ¤ikkÃ¶nen
22829,2020,0,austria,George Russell
22830,2020,0,austria,Romain Grosjean
22831,2020,0,austria,Kevin Magnussen
22832,2020,0,austria,Lance Stroll
22833,2020,0,austria,Daniel Ricciardo
22834,2020,0,austria,Max Verstappen
22835,2020,1,austria,Lewis Hamilton
22836,2020,2,austria,Valtteri Bottas
22837,2020,3,austria,Max Verstappen
22838,2020,4,austria,Alexander Albon
22839,2020,5,austria,Lando Norris
22840,2020,6,austria,Sergio Perez
22841,2020,7,austria,Lance Stroll
22842,2020,8,austria,Daniel Ricciardo
22843,2020,9,austria,Carlos Sainz
22844,2020,10,austria,Daniil Kvyat
22845,2020,11,austria,Kimi RÃ¤ikkÃ¶nen
22846,2020,12,austria,Kevin Magnussen
22847,2020,13,austria,Romain Grosjean
22848,2020,14,austria,Antonio Giovinazzi
22849,2020,15,austria,Pierre Gasly
22850,2020,16,austria,George Russell
22851,2020,17,austria,Nicholas Latifi
22852,2020,0,austria,Esteban Ocon
22853,2020,0,austria,Charles Leclerc
22854,2020,0,austria,Sebastian Vettel
22855,2020,1,hungary,Lewis Hamilton
22856,2020,2,hungary,Max Verstappen
22857,2020,3,hungary,Valtteri Bottas
22858,2020,4,hungary,Lance Stroll
22859,2020,5,hungary,Alexander Albon
22860,2020,6,hungary,Sebastian Vettel
22861,2020,7,hungary,Sergio Perez
22862,2020,8,hungary,Daniel Ricciardo
22863,2020,9,hungary,Carlos Sainz
22864,2020,10,hungary,Kevin Magnussen
22865,2020,11,hungary,Charles Leclerc
22866,2020,12,hungary,Daniil Kvyat
22867,2020,13,hungary,Lando Norris
22868,2020,14,hungary,Esteban Ocon
22869,2020,15,hungary,Kimi RÃ¤ikkÃ¶nen
22870,2020,16,hungary,Romain Grosjean
22871,2020,17,hungary,Antonio Giovinazzi
22872,2020,18,hungary,George Russell
22873,2020,19,hungary,Nicholas Latifi
22874,2020,0,hungary,Pierre Gasly
22875,2020,1,great-britain,Lewis Hamilton
22876,2020,2,great-britain,Max Verstappen
22877,2020,3,great-britain,Charles Leclerc
22878,2020,4,great-britain,Daniel Ricciardo
22879,2020,5,great-britain,Lando Norris
22880,2020,6,great-britain,Esteban Ocon
22881,2020,7,great-britain,Pierre Gasly
22882,2020,8,great-britain,Alexander Albon
22883,2020,9,great-britain,Lance Stroll
22884,2020,10,great-britain,Sebastian Vettel
22885,2020,11,great-britain,Valtteri Bottas
22886,2020,12,great-britain,George Russell
22887,2020,13,great-britain,Carlos Sainz
22888,2020,14,great-britain,Antonio Giovinazzi
22889,2020,15,great-britain,Nicholas Latifi
22890,2020,16,great-britain,Romain Grosjean
22891,2020,17,great-britain,Kimi RÃ¤ikkÃ¶nen
22892,2020,0,great-britain,Daniil Kvyat
22893,2020,0,great-britain,Kevin Magnussen
