Year,Venue,Name,Team,Lap Time
2020,Austria,Lando Norris,McLaren Renault,01:07.5
2020,Styria,Carlos Sainz,McLaren Renault,01:05.6
2020,Hungary,Lewis Hamilton,Mercedes,01:16.6
2020,Great Britain,Max Verstappen,Red Bull Racing Honda,01:27.1
2020,70th Anniversary,Lewis Hamilton,Mercedes,01:28.5
2020,Spain,Valtteri Bottas,Mercedes,01:18.2
2020,Belgium,Daniel Ricciardo,Renault,01:47.5
2020,Italy,Lewis Hamilton,Mercedes,01:22.7
2020,Tuscany,Lewis Hamilton,Mercedes,01:18.8
2020,Russia,Valtteri Bottas,Mercedes,01:37.0
2020,Eifel,Max Verstappen,Red Bull Racing Honda,01:28.1
2020,Portugal,Lewis Hamilton,Mercedes,01:18.7
2020,Emilia Romagna,Lewis Hamilton,Mercedes,01:15.5
2020,Turkey,Lando Norris,McLaren Renault,01:36.8
2020,Bahrain,Max Verstappen,Red Bull Racing Honda,01:32.0
2020,Sakhir,George Russell,Mercedes,55.404
2020,Abu Dhabi,Daniel Ricciardo,Renault,01:40.9
